t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s
48756.0,13:32:36,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0
48816.0,13:33:36,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0
48876.0,13:34:36,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0
48936.0,13:35:36,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,180.0
48996.0,13:36:36,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,240.0
49056.0,13:37:36,serverntp,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,serverntp       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,300.0
49116.0,13:38:36,serverntp,127.127.1.0,9,u,49.0,64,1,1,,False,1.3723,0.1874,0.0,serverntp       127.127.1.0      9 u   49   64    1   1.3723   0.1874   0.0000,360.0
49176.0,13:39:36,serverntp,127.127.1.0,9,u,45.0,64,3,3,,False,1.6476,0.3681,0.1806,serverntp       127.127.1.0      9 u   45   64    3   1.6476   0.3681   0.1806,420.0
49236.0,13:40:36,serverntp,127.127.1.0,9,u,38.0,64,7,7,,False,1.2258,0.3321,0.1054,serverntp       127.127.1.0      9 u   38   64    7   1.2258   0.3321   0.1054,480.0
49296.0,13:41:36,serverntp,127.127.1.0,9,u,33.0,64,17,15,*,True,1.3172,0.0826,0.2271,*serverntp       127.127.1.0      9 u   33   64   17   1.3172   0.0826   0.2271,540.0
49356.0,13:42:36,serverntp,127.127.1.0,9,u,27.0,64,37,31,*,True,0.3629,0.0453,0.228,*serverntp       127.127.1.0      9 u   27   64   37   0.3629   0.0453   0.2280,600.0
49416.0,13:43:36,serverntp,127.127.1.0,9,u,23.0,64,77,63,*,True,5.9957,2.7994,2.5995,*serverntp       127.127.1.0      9 u   23   64   77   5.9957   2.7994   2.5995,660.0
49476.0,13:44:36,serverntp,127.127.1.0,9,u,18.0,64,177,127,*,True,1.3159,0.1265,1.0998,*serverntp       127.127.1.0      9 u   18   64  177   1.3159   0.1265   1.0998,720.0
49536.0,13:45:36,serverntp,127.127.1.0,9,u,11.0,64,377,255,*,True,1.3907,0.1081,1.0262,*serverntp       127.127.1.0      9 u   11   64  377   1.3907   0.1081   1.0262,780.0
49596.0,13:46:36,serverntp,127.127.1.0,9,u,4.0,64,377,255,*,True,1.4467,0.1197,1.0208,*serverntp       127.127.1.0      9 u    4   64  377   1.4467   0.1197   1.0208,840.0
49656.0,13:47:36,serverntp,127.127.1.0,9,u,,64,377,255,*,True,0.3629,0.0453,1.0481,*serverntp       127.127.1.0      9 u    -   64  377   0.3629   0.0453   1.0481,900.0
49717.0,13:48:37,serverntp,127.127.1.0,9,u,60.0,64,377,255,*,True,0.3629,0.0453,1.0481,*serverntp       127.127.1.0      9 u   60   64  377   0.3629   0.0453   1.0481,961.0
49777.0,13:49:37,serverntp,127.127.1.0,9,u,53.0,64,377,255,*,True,0.3512,0.0358,1.0465,*serverntp       127.127.1.0      9 u   53   64  377   0.3512   0.0358   1.0465,1021.0
49837.0,13:50:37,serverntp,127.127.1.0,9,u,48.0,64,377,255,*,True,0.3512,0.0358,1.0467,*serverntp       127.127.1.0      9 u   48   64  377   0.3512   0.0358   1.0467,1081.0
