node,scenario,parameter,source_file,filter_rule,n_total_rows,n_filtered_rows,first_valid_t_rel_s,n_valid_metric,mean,std,min,q1,median,q3,max,range,iqr,cv
client,low,rms_ns,client_low_samples.csv,all_rows,115,115,0.0,115,333758.443478,305485.18778,35456,148107.0,248869.0,367184.5,1643285,1607829,219077.5,0.915288
client,low,path_delay_ns,client_low_samples.csv,all_rows,115,115,0.0,115,524322.756522,135730.230545,168122,460425.0,524299.0,596029.0,862114,693992,135604.0,0.258868
client,medium,rms_ns,client_medium_samples.csv,all_rows,74,74,0.0,74,495222.797297,754809.354627,46153,185673.0,289519.0,478832.75,5374528,5328375,293159.75,1.524181
client,medium,path_delay_ns,client_medium_samples.csv,all_rows,74,74,0.0,74,720708.986486,340459.973944,166968,581727.25,654933.0,857002.5,2686221,2519253,275275.25,0.472396
boundary,low,offset_ns,boundary_low_samples.csv,all_rows,235,235,0.0,235,109950.361702,711639.74953,-1151962,-213737.5,-43836.0,159037.5,5533287,6685249,372775.0,6.472373
boundary,low,offset_ns_postlock_s2,boundary_low_samples.csv,servo_state==2,235,218,17.024,218,100251.541284,715208.713593,-1151962,-210944.5,-45273.5,147061.0,5533287,6685249,358005.5,7.134142
boundary,low,path_delay_ns,boundary_low_samples.csv,all_rows,235,235,0.0,235,547340.140426,265025.593649,161179,388919.0,476428.0,634718.0,1498267,1337088,245799.0,0.484206
boundary,medium,offset_ns,boundary_medium_samples.csv,all_rows,235,235,0.0,235,95293.468085,1007806.642933,-955184,-299176.5,-100004.0,135566.5,11064269,12019453,434743.0,10.575821
boundary,medium,offset_ns_postlock_s2,boundary_medium_samples.csv,servo_state==2,235,218,17.008,218,106879.940367,1041061.846093,-955184,-300179.75,-88836.5,135685.75,11064269,12019453,435865.5,9.740479
boundary,medium,path_delay_ns,boundary_medium_samples.csv,all_rows,235,235,0.0,235,714603.612766,208788.263345,153244,644414.0,697914.0,805781.0,1449010,1295766,161367.0,0.292174
boundary,high,offset_ns,boundary_high_samples.csv,all_rows,235,235,0.0,235,30607.748936,635546.630591,-1671417,-371376.5,-59229.0,240381.5,3244309,4915726,611758.0,20.76424
boundary,high,offset_ns_postlock_s2,boundary_high_samples.csv,servo_state==2,235,218,17.012,218,35863.56422,595182.536129,-964752,-355447.75,-56328.5,227693.0,3244309,4209061,583140.75,16.595744
boundary,high,path_delay_ns,boundary_high_samples.csv,all_rows,235,235,0.0,235,707771.212766,224018.527899,234157,595452.0,678988.0,797246.0,1820002,1585845,201794.0,0.316513
